Pair_ID,ID,1g8ml,05g5ml
1,Kikombe,538.9109204,679.9526487
2,Twesiime,591.7904706,665.6999112
3,Kisho,672.0390648,660.4557561
4,Kabukojo,320.8700799,286.3332347
5,Kibande,207.8780704,165.1494525
6,Maraya,491.943734,599.4714408
7,Karungi,1191.150895,1073.640239
8,Kanywani,212.3825987,470.5200341
9,Kabukojo,192.6418899,456.5387894
10,Ruterana,207.8651685,397.2378517
11,Kibande,130.5272256,260.8525149
12,Kabunga,180.3284356,297.7323103
13,Maraya,394.6121057,458.4995737
14,Karungi,546.1636829,512.514919
15,Maraya,490.5882353,726.3768116
16,Twesiime,649.4629156,427.3827792
17,Karembezi,214.5950554,286.4450128
18,Ruterana,282.9411765,331.0144928
19,Kabukojo,223.42711,310.1790281
20,Kibande,440.1960784,301.2276215
21,Kanyindo,560.6052856,428.286445
22,Maraya,211.4492754,239.6930946
23,Kisho,269.1730605,369.7016198
24,Kabunga,296.2745098,192.2591645
25,Kabukojo,243.0690537,514.4379001
26,Kanywani,156.3086104,447.3239437
27,Karembezi,338.099872,349.9923175
28,Munyana,484.7221511,687.8770807
29,Ruterana,376.7887324,477.3572343
30,Kabukojo,378.2740077,473.2804097
31,Kabunga,165.6338028,311.6619718
