Std_No,Std_No_rev,Conc,Mean,Type1,Type2,Type3,Dilution_factor,Relative_Dilution_factor
1,12,100,0.277,Standard,Standard,Standard,1,NA
2,11,50,0.342,Standard,Standard,Standard,2,NA
3,10,25,0.395,Standard,Standard,Standard,4,1
4,9,12.5,0.457,Standard,Standard,Standard,8,2
5,8,6.25,0.61,Standard,Standard,Standard,16,4
6,7,3.13,0.782,Standard,Standard,Standard,32,8
7,6,1.56,0.818,Standard,Standard,Standard,64,16
8,5,0.78,1.213,Standard,Standard,Standard,128,32
9,4,0.39,1.433,Standard,Standard,Standard,256,64
10,3,0.2,1.45,Standard,Standard,Standard,512,128
11,2,0.1,1.47,Standard,Standard,Standard,1024,256
12,1,0.05,1.626,Standard,Standard,Standard,2048,512
4,9,8.253,0.52,Sample,5_mean,sample_01,5,1
5,8,4.452,0.653,Sample,5_mean,sample_01,10,2
6,7,1.805,0.912,Sample,5_mean,sample_01,20,4
7,6,0.548,1.264,Sample,5_mean,sample_01,40,8
8,5,0.296,1.399,Sample,5_mean,sample_01,80,16
4,9,10.573,0.479,Sample,12_mean,sample_02,5,1
5,8,3.407,0.723,Sample,12_mean,sample_02,10,2
6,7,1.28,1.019,Sample,12_mean,sample_02,20,4
7,6,0.823,1.152,Sample,12_mean,sample_02,40,8
8,5,0.399,1.338,Sample,12_mean,sample_02,80,16
4,9,5.723,0.594,Sample,13_mean,sample_03,5,1
5,8,3.198,0.74,Sample,13_mean,sample_03,10,2
6,7,0.755,1.178,Sample,13_mean,sample_03,20,4
7,6,0.722,1.19,Sample,13_mean,sample_03,40,8
8,5,0.504,1.284,Sample,13_mean,sample_03,80,16
4,9,8.806,0.509,Sample,30_mean,sample_04,5,1
5,8,2.163,0.856,Sample,30_mean,sample_04,10,2
6,7,1.118,1.061,Sample,30_mean,sample_04,20,4
7,6,0.722,1.19,Sample,30_mean,sample_04,40,8
8,5,0.497,1.287,Sample,30_mean,sample_04,80,16
