Sample_ID_Trail,Sample_ID_Nest,Pair_ID,Gorilla_ID,Trail,Nest
75,74,1,Kanyonyi,357.6783271,326.324018
83,84,2,Kanyonyi,358.3349619,439.3120969
93,92,3,Kanyonyi,470.8461989,412.1711941
129,128,4,Kanyonyi,575.7473684,540.1403509
147,144,5,Kabukojo,447.5995996,503.6236236
174,171,6,Kabukojo,299.9079079,384.7207207
179,176,7,Kabukojo,292.8820042,324.8116275
185,181,8,Kabukojo,437.751004,360.5125263
188,189,9,Kabukojo,360.5125263,409.2866705
197,196,10,Kabukojo,312.885829,229.5199847
227,225,11,Kanyonyi,273.229058,333.7504345
250,248,12,Kabukojo,319.7251586,227.6744186
263,262,13,Maraya,276.4545724,197.6391825
270,268,14,Kabukojo,264.5930749,334.6137911
344,342,15,Maraya,490.5882353,394.6121057
385,380,16,Kabukojo,244.1075544,327.4058899
390,386,17,Kabukojo,380.5275288,207.3341869
395,394,18,Maraya,356.0460948,339.3802817
398,397,19,Kabukojo,360.9116517,236.2304738
436,435,20,Maraya,164.9816283,247.6658287
457,456,21,Kabukojo,229.9322799,333.8793937
476,470,22,Kabukojo,190.8974642,198.5875524
519,516,23,Maraya,313.1032149,374.0169205
529,526,24,Kabukojo,206.3053137,272.692376
542,540,25,Kabukojo,128.6582548,161.2937622
562,558,26,Kabukojo,164.9892842,80.73153308
571,568,27,Maraya,1011.984569,527.7382483
578,572,28,Kabukojo,256.6366624,204.3206172
594,590,29,Maraya,268.9230769,441.0858694
613,605,30,Kabukojo,551.7837838,728.6209286
636,633,31,Maraya,174.1377049,225.2393443
651,649,32,Kabukojo,190.3147541,144.8262295
767,764,33,Maraya,243.2153635,369.1851852
819,817,34,Kabukojo,138.862069,125.0258621
857,855,35,Kabukojo,171.9241192,259.7289973
880,879,36,Maraya,476.733284,393.2000987
892,888,37,Maraya,312.4796447,416.8171725
911,908,38,Kabukojo,95.8896914,61.11621799
928,922,39,Kabukojo,52.37032173,74.7034362
960,959,40,Kabukojo,175.2487737,123.270264
